Employee,EducLev,JobGrade,YrsExper,Age,Gender,YrsPrior,PCJob,Salary
1,3,1,3,26,Male,1,No,32000.00
2,1,1,14,38,Female,1,No,39100.00
3,1,1,12,35,Female,0,No,33200.00
4,2,1,8,40,Female,7,No,30600.00
5,3,1,3,28,Male,0,No,29000.00
6,3,1,3,24,Female,0,No,30500.00
7,3,1,4,27,Female,0,No,30000.00
8,3,1,8,33,Male,2,No,27000.00
9,1,1,4,62,Female,0,No,34000.00
10,3,1,9,31,Female,0,No,29500.00
11,3,1,9,34,Female,2,No,26800.00
12,2,1,8,37,Female,8,No,31300.00
13,2,1,9,37,Female,0,No,31200.00
14,2,1,10,58,Female,6,No,34700.00
15,3,1,4,33,Female,0,No,30000.00
16,3,1,3,27,Female,0,No,31000.00
17,3,1,6,30,Female,0,No,27000.00
18,2,1,8,37,Female,9,No,29600.00
19,3,1,5,44,Female,6,No,32600.00
20,2,1,4,29,Female,3,No,29600.00
21,3,1,4,36,Female,2,No,29500.00
22,2,1,3,28,Male,3,No,31000.00
23,1,1,5,45,Female,0,No,28500.00
24,2,1,3,33,Male,4,No,26700.00
25,3,1,3,24,Male,1,No,30750.00
26,3,1,3,27,Male,1,No,29500.00
27,2,1,16,60,Female,6,No,42200.00
28,1,1,13,48,Female,0,No,37600.00
29,1,1,12,40,Female,6,No,34000.00
30,2,1,4,33,Female,7,No,33000.00
31,1,1,7,35,Female,4,No,28760.00
32,1,1,11,44,Female,0,No,35400.00
33,3,1,3,43,Male,8,No,31000.00
34,2,1,18,46,Female,2,No,38800.00
35,2,1,14,42,Female,0,No,34300.00
36,1,1,19,47,Female,0,No,35000.00
37,3,1,3,25,Female,2,Yes,34600.00
38,2,1,2,30,Female,4,No,28500.00
39,1,1,11,40,Female,0,No,29500.00
40,3,1,3,26,Male,2,No,30500.00
41,3,1,5,32,Female,1,No,34200.00
42,1,1,15,51,Female,0,No,43600.00
43,5,1,7,35,Female,0,Yes,33500.00
44,3,1,12,37,Female,1,No,33000.00
45,1,1,18,44,Female,0,No,45300.00
46,1,1,17,53,Male,3,No,38800.00
47,1,1,10,40,Female,0,No,29900.00
48,3,1,5,51,Male,10,No,31200.00
49,1,1,15,42,Female,0,No,34000.00
50,2,1,2,53,Female,0,No,30450.00
51,1,1,3,58,Male,3,No,35500.00
52,1,1,4,44,Female,10,Yes,34000.00
53,2,1,7,31,Female,0,No,29100.00
54,1,1,8,64,Female,0,No,29650.00
55,3,1,15,47,Female,1,No,29200.00
56,3,1,9,37,Female,0,Yes,29800.00
57,2,1,16,46,Female,0,No,33500.00
58,1,1,8,55,Female,0,No,34000.00
59,1,1,9,39,Female,0,No,29600.00
60,3,1,18,51,Female,0,No,34000.00
61,2,2,3,37,Female,8,No,37250.00
62,2,2,6,30,Male,3,No,33000.00
63,3,2,4,26,Female,0,No,28600.00
64,5,2,5,41,Female,1,Yes,36000.00
65,3,2,4,34,Female,4,Yes,37300.00
66,2,2,7,57,Male,4,No,29900.00
67,1,2,11,53,Female,8,No,31500.00
68,3,2,5,32,Female,4,Yes,41400.00
69,1,2,17,44,Female,5,No,32740.00
70,3,2,3,25,Male,1,No,33500.00
71,1,2,5,31,Female,9,No,32000.00
72,1,2,9,50,Female,0,No,30800.00
73,5,2,3,47,Female,3,Yes,42000.00
74,3,2,4,35,Male,0,No,34000.00
75,2,2,16,43,Female,0,No,32500.00
76,2,2,9,46,Female,10,No,31700.00
77,5,2,3,35,Male,0,No,36500.00
78,3,2,4,22,Male,0,No,33000.00
79,2,2,8,58,Female,0,No,31200.00
80,5,2,8,40,Female,0,No,34000.00
81,3,2,6,30,Female,0,No,33000.00
82,5,2,4,29,Female,4,No,33900.00
83,1,2,3,31,Female,9,Yes,39000.00
84,2,2,12,52,Male,18,No,34920.00
85,5,2,3,33,Male,5,No,39000.00
86,1,2,8,49,Female,0,No,34000.00
87,2,2,6,34,Female,7,No,31900.00
88,5,2,3,26,Male,1,No,37000.00
89,5,2,4,28,Male,0,No,34000.00
90,5,2,3,35,Female,2,No,36400.00
91,1,2,15,47,Female,1,Yes,38200.00
92,1,2,15,51,Female,0,No,35300.00
93,3,2,3,26,Male,2,No,34500.00
94,3,2,12,33,Female,0,No,30500.00
95,4,2,2,27,Male,2,No,30000.00
96,5,2,8,34,Female,0,Yes,37300.00
97,4,2,5,29,Female,0,No,40200.00
98,3,2,5,27,Male,0,No,35500.00
99,1,2,11,43,Female,0,No,35000.00
100,3,2,4,36,Female,3,No,38000.00
101,1,2,9,38,Female,0,No,35300.00
102,2,2,14,60,Female,0,No,34100.00
103,3,3,4,43,Female,5,Yes,43200.00
104,2,3,15,48,Female,5,No,36100.00
105,5,3,7,32,Female,3,No,34600.00
106,3,3,5,31,Male,0,No,36000.00
107,5,3,7,29,Female,2,No,36200.00
108,3,3,7,35,Female,0,No,37500.00
109,3,3,4,37,Female,12,No,41000.00
110,2,3,10,43,Female,0,No,35600.00
111,3,3,5,33,Female,5,No,39800.00
112,4,3,11,58,Female,4,Yes,41300.00
113,3,3,9,44,Female,7,No,42500.00
114,3,3,4,37,Female,8,Yes,45800.00
115,5,3,5,48,Female,6,No,34900.00
116,5,3,4,26,Male,0,No,41500.00
117,3,3,5,25,Female,0,No,38000.00
118,4,3,6,38,Female,0,No,35000.00
119,3,3,6,41,Female,0,No,40000.00
120,3,3,5,29,Male,0,No,36000.00
121,2,3,9,59,Female,0,No,33700.00
122,2,3,5,29,Male,4,No,36300.00
123,3,3,3,27,Female,2,Yes,38000.00
124,5,3,4,30,Female,0,No,39500.00
125,2,3,7,34,Female,5,No,36300.00
126,3,3,8,35,Female,2,No,32500.00
127,2,3,12,50,Female,6,No,37000.00
128,5,3,3,33,Female,1,No,32600.00
129,3,3,4,26,Female,0,No,36000.00
130,5,3,3,36,Female,0,No,35000.00
131,5,3,3,33,Female,5,Yes,43600.00
132,3,3,8,47,Female,0,No,33800.00
133,1,3,21,51,Female,0,No,35300.00
134,1,3,16,42,Female,6,No,42400.00
135,5,3,5,31,Male,0,No,39500.00
136,2,3,25,62,Female,10,No,43500.00
137,5,3,6,46,Male,1,No,42000.00
138,3,3,21,60,Female,9,No,40300.00
139,4,3,6,43,Male,5,No,44000.00
140,1,3,25,53,Female,2,No,40660.00
141,3,3,13,38,Female,1,No,39700.00
142,5,3,6,39,Female,5,No,45000.00
143,5,3,7,35,Female,0,No,43900.00
144,4,3,8,40,Female,3,No,38000.00
145,5,3,5,32,Female,3,No,39020.00
146,5,4,5,33,Male,3,No,44500.00
147,5,4,4,30,Male,1,No,41000.00
148,5,4,6,37,Male,3,No,44000.00
149,5,4,6,30,Male,0,No,44000.00
150,5,4,5,32,Female,4,No,42500.00
151,5,4,7,37,Female,3,No,40260.00
152,5,4,5,29,Male,1,No,44500.00
153,1,4,13,50,Female,9,No,35500.00
154,5,4,6,29,Male,0,No,42500.00
155,5,4,7,32,Female,0,No,44000.00
156,5,4,6,31,Male,2,No,45000.00
157,2,4,15,47,Female,4,No,44400.00
158,3,4,17,44,Female,0,No,38000.00
159,5,4,4,27,Male,0,No,41800.00
160,1,4,23,55,Male,0,No,45500.00
161,3,4,5,52,Male,4,No,42500.00
162,5,4,3,50,Female,12,No,44000.00
163,3,4,19,59,Female,8,Yes,54300.00
164,3,4,26,47,Female,0,No,44800.00
165,3,4,6,43,Male,4,No,47000.00
166,5,4,15,41,Female,0,No,43800.00
167,1,4,12,39,Female,4,Yes,48000.00
168,5,4,9,39,Female,0,No,42700.00
169,3,4,14,40,Female,1,Yes,48500.00
170,3,4,16,49,Female,0,No,42000.00
171,2,4,16,53,Female,1,No,45500.00
172,3,4,11,37,Female,0,No,44500.00
173,2,4,13,40,Female,2,No,51200.00
174,5,5,7,34,Male,0,No,47500.00
175,5,5,8,37,Female,0,No,44500.00
176,5,5,8,31,Male,0,No,47000.00
177,5,5,6,41,Male,10,No,47000.00
178,3,5,17,46,Female,4,No,43100.00
179,5,5,8,37,Male,2,No,49000.00
180,5,5,8,33,Male,0,No,48500.00
181,3,5,8,35,Female,5,No,45000.00
182,5,5,16,49,Female,5,No,52500.00
183,5,5,6,33,Male,2,No,47500.00
184,5,5,7,31,Male,0,No,48000.00
185,5,5,8,49,Male,4,No,46500.00
186,5,5,12,40,Female,2,No,61500.00
187,5,5,9,37,Female,2,No,50000.00
188,5,5,12,46,Female,2,No,61800.00
189,4,5,16,43,Female,0,No,43000.00
190,5,5,11,36,Male,1,No,47000.00
191,5,5,9,37,Female,6,No,58500.00
192,5,5,16,40,Male,7,No,55000.00
193,3,5,24,54,Male,3,No,57000.00
194,5,5,17,57,Male,1,No,57000.00
195,5,6,14,49,Male,0,No,60000.00
196,3,6,13,41,Male,0,No,60000.00
197,5,6,19,59,Male,4,No,59000.00
198,5,6,12,51,Male,0,No,60000.00
199,5,6,20,45,Male,0,No,65000.00
200,5,6,20,56,Male,1,No,52000.00
201,5,6,22,57,Male,0,No,58000.00
202,4,6,21,53,Male,0,No,60000.00
203,5,6,39,65,Male,0,No,74000.00
204,3,6,34,60,Male,0,No,95000.00
205,5,6,36,61,Male,0,No,97000.00
206,5,6,32,62,Male,0,No,88000.00
207,5,6,35,59,Male,0,No,94000.00
208,5,6,33,62,Female,0,No,30000.00
